round,proposals,soft_votes,cert_votes,next_votes,pipelined_soft_votes,pipelined_cert_votes,obsolete_votes,round_duration_ms,in_peers,out_peers,bundle_votes
55832918,6,314,162,0,0,0,423,2815,0,52,134
55832919,7,342,150,0,0,0,389,2796,0,52,134
55832920,8,321,181,0,0,0,431,2903,0,52,167
55832921,8,322,156,0,0,0,416,2826,0,52,152
55832922,5,316,177,0,0,0,410,2797,0,52,171
55832923,4,332,164,0,0,0,420,2672,0,52,140
55832924,6,335,165,0,0,0,422,2873,0,52,155
55832925,5,360,185,0,0,0,414,3171,0,52,169
55832926,3,334,164,0,0,0,432,2739,0,52,164
55832927,9,315,159,0,0,0,417,2591,0,52,150
55832928,4,312,149,0,0,0,392,2882,0,52,149
55832929,9,348,166,0,0,0,410,2915,0,52,160
55832930,3,333,174,0,0,0,443,2992,0,52,174
55832931,7,318,176,0,0,0,412,2728,0,52,163
55832932,2,316,147,0,0,0,412,2525,0,52,136
55832933,7,345,165,0,0,0,407,2936,0,52,132
55832934,5,324,163,0,0,0,437,2596,0,52,162
55832935,8,307,158,0,0,0,415,2760,0,52,158
55832936,7,327,151,0,0,0,392,2851,0,52,151
55832937,5,313,153,0,0,0,419,2775,0,52,150
55832938,4,340,167,0,0,0,397,2867,0,52,156
55832939,6,309,166,0,0,0,437,2768,0,52,132
55832940,7,301,163,0,0,0,412,2759,0,52,144
55832941,12,334,163,0,0,0,389,2897,0,52,118
55832942,2,322,164,0,0,0,419,2782,0,52,133
55832943,7,331,183,0,0,0,407,2921,0,52,162
