round,proposals,soft_votes,cert_votes,next_votes,pipelined_soft_votes,pipelined_cert_votes,late_soft_votes,late_cert_votes,late_next_votes,round_duration_ms,in_peers,out_peers,bundle_votes
55868727,8,288,162,0,0,0,317,179,0,2841,0,47,162
55868728,7,311,158,0,0,0,303,194,0,2899,0,47,146
55868729,7,295,158,0,0,0,324,196,0,2655,0,47,141
55868730,3,305,151,0,0,0,311,198,0,2951,0,47,151
55868731,10,314,157,0,0,0,319,186,0,2686,0,47,145
55868732,4,305,154,0,0,0,322,208,0,2781,0,47,152
55868733,4,314,157,0,0,0,316,196,0,2810,0,47,127
55868734,3,342,144,0,0,0,323,193,0,2850,0,47,129
55868735,10,313,140,0,0,0,354,187,0,2636,0,46,122
55868736,6,303,140,0,0,0,335,180,0,2726,0,46,140
55868737,7,301,155,0,0,0,320,185,0,2796,0,46,133
55868738,12,320,146,0,0,0,308,197,0,2698,0,46,141
55868739,5,316,149,0,0,0,339,185,0,2797,0,46,146
55868740,5,309,170,0,0,0,327,192,0,2967,0,46,154
55868741,10,310,151,0,0,0,327,206,0,2658,0,46,118
55868742,9,299,146,0,0,0,330,200,0,2756,0,46,128
55868743,4,288,140,0,0,0,308,186,0,2756,0,46,139
55868744,6,325,182,0,0,0,307,183,0,2880,0,46,155
55868745,7,324,141,0,0,0,338,210,0,2964,0,46,140
55868746,7,307,162,0,0,0,338,179,0,2600,0,46,156
55868747,7,288,146,0,0,0,327,216,0,2842,0,46,122
55868748,7,288,155,0,0,0,309,201,0,2718,0,46,154
55868749,8,306,168,0,0,0,307,207,0,2690,0,46,137
55868750,8,288,152,0,0,0,321,198,0,2949,0,46,124
55868751,9,316,145,0,0,0,311,209,0,2774,0,46,144
55868752,9,304,146,0,0,0,339,186,0,2781,0,46,139
55868753,8,304,150,0,0,0,319,186,0,2737,0,46,150
55868754,8,320,166,0,0,0,329,197,0,2731,0,46,166
55868755,7,311,145,0,0,0,342,205,0,2698,0,46,144
55868756,6,290,160,0,0,0,337,194,0,2970,0,45,127
55868757,6,317,147,0,0,0,313,205,0,2628,0,45,147
55868758,8,321,158,0,0,0,339,198,0,2845,0,45,142
55868759,6,293,153,0,0,0,338,202,0,2643,0,45,120
55868760,3,308,153,0,0,0,310,188,0,2835,0,45,153
55868761,8,316,169,0,0,0,331,182,0,2862,0,45,123
55868762,8,304,148,0,0,0,328,211,0,2645,0,45,104
55868763,6,289,153,0,0,0,326,197,0,2870,0,45,134
55868764,10,299,140,0,0,0,312,191,0,2822,0,45,90
55868765,9,298,148,0,0,0,321,178,0,2716,0,45,146
55868766,8,305,167,0,0,0,320,185,0,2799,0,45,116
55868767,8,303,141,0,0,0,318,192,0,2703,0,45,134
55868768,8,305,141,0,0,0,319,183,0,2815,0,45,115
55868769,8,331,144,0,0,0,329,181,0,2656,0,45,120
55868770,6,320,167,0,0,0,353,183,0,2803,0,45,136
55868771,4,316,146,0,0,0,334,209,0,2743,0,45,136
55868772,7,278,130,0,0,0,333,178,0,2688,0,45,113
55868773,6,284,134,0,0,0,309,201,0,2743,0,45,125
55868774,5,284,141,0,0,0,305,191,0,2873,0,45,140
55868775,3,297,150,0,0,0,303,174,0,2681,0,45,130
55868776,4,304,156,0,0,0,311,197,0,2790,0,44,118
55868777,4,292,164,0,0,0,318,190,0,2769,0,45,157
55868778,8,312,157,0,0,0,304,216,0,3204,0,44,127
55868779,8,276,168,0,0,0,330,207,0,2432,0,44,149
55868780,9,308,163,0,0,0,296,193,0,2810,0,44,133
55868781,5,309,132,0,0,0,331,200,0,2668,0,44,131
55868782,6,305,150,0,0,0,316,192,0,2783,0,44,101
55868783,9,281,129,0,0,0,318,189,0,2697,0,44,117
55868784,5,301,134,0,0,0,306,185,0,2850,0,44,126
55868785,7,265,154,0,0,0,319,191,0,2736,0,44,108
55868786,5,289,134,0,0,0,283,197,0,2745,0,44,126
55868787,7,304,157,0,0,0,310,177,0,2780,0,44,157
55868788,3,328,139,0,0,0,321,200,0,2795,0,44,94
55868789,8,324,177,0,0,0,339,183,0,2879,0,44,174
55868790,10,309,138,0,0,0,336,215,0,2692,0,44,134
55868791,8,323,136,0,0,0,331,184,0,2859,0,44,135
55868792,8,276,152,0,0,0,334,188,0,2689,0,44,147
55868793,5,310,164,0,0,0,308,200,0,2840,0,44,126
55868794,6,312,156,0,0,0,323,194,0,2771,0,44,136
55868795,10,287,152,0,0,0,333,203,0,2752,0,44,150
55868796,5,297,142,0,0,0,297,196,0,2832,0,44,140
55868797,5,324,159,0,0,0,325,189,0,2783,0,44,145
55868798,9,309,154,0,0,0,333,195,0,2672,0,44,107
55868799,8,280,164,0,0,0,318,188,0,2840,0,44,136
55868800,9,292,154,0,0,0,292,214,0,2884,0,44,146
55868801,9,302,145,0,0,0,311,185,0,2621,0,44,140
55868802,6,298,151,0,0,0,325,199,0,2771,0,44,131
55868803,5,342,142,0,0,0,322,195,0,2758,0,44,120
55868804,6,323,158,0,0,0,361,183,0,2823,0,44,123
55868805,5,299,164,0,0,0,331,194,0,2842,0,44,163
55868806,5,321,170,0,0,0,311,204,0,2731,0,44,170
55868807,6,305,159,0,0,0,336,214,0,2792,0,44,128
55868808,7,325,163,0,0,0,325,207,0,2835,0,44,162
55868809,8,315,153,0,0,0,336,210,0,2723,0,44,114
55868810,6,328,148,0,0,0,331,183,0,2841,0,44,130
