Address,Owner,DeFi,Inc. Eligible,Balance,Voting %,Blocks (All time),Ⱥ Payouts (All),Blocks (Last 100K),Ⱥ Payouts (100K),Blocks (Last 1M),Ⱥ Payouts (1M),Update Round,First Valid,Last Valid,Est. Expiration,Key Dilution
G6I2EE5P7ETBEEJMCJKNA7HAJAM3GOPYFVUB5NHAIVZSXQQ6L7OUJX73WY,,No,true,31668.836204,0.0016330144250753392,147,1397.416065,1,9.152175,21,192.42388,55773103,55112976,57890118,2026-01-30T08:45:49.000Z,1667
3J6D4PQCOUBXFBZXTCOM2C2OYKDTNKEEDDM43LGI272HYBYJH6NV3NU3YA,,No,true,31659.338552,0.0016325246753851252,79,741.049606,1,9.14467,23,211.680683,55769785,53739000,56516142,2025-12-16T05:04:50.000Z,1667
KP47YX3HXTRFPJ2U3BGBASJMLIEMUXPGZQ5GNNZPCOGLGRFIJW2CJJAZAE,,No,true,31659.098822,0.0016325123136252677,136,1288.117322,4,36.642201,17,155.98282,55800232,55605841,58433477,2026-02-17T05:19:19.000Z,1682
DMVGTBLTMDHFVXXKPBOZ67MUYN6PB7S4II5VXKA2254R6JVUUOTEZUBEQQ,,No,true,31643.554926,0.001631710787284787,93,881.800053,0,0,14,129.244636,55794103,52924212,56596212,2025-12-18T20:14:00.000Z,1917
COKI7EQX2Q7XMZLOAC5HN6LKFSEPR4V5Q5P76REV5TEDVN7VCPRPW5ZYKU,,No,true,31640.690942,0.0016315631049653276,327,1403.785289,0,0,13,119.343311,55804103,55334611,58334611,2026-02-13T23:20:40.000Z,1733
W7AMCGSOWMD3DA4HYYGGPFM35DZ3YWEOMVOCL3NXROWH7BX57TEBLDKSRY,,No,true,31632.550943,0.001631143363118754,109,1034.621849,2,18.27934,16,146.786913,55787103,52491199,57341725,2026-01-12T08:14:05.000Z,2203
C6FBHN2O2AK7RDG2RIYPB3TF2MX4NCICUCSE6GI7GOLJEWTVT2C5UFGOFQ,,No,true,31629.941937,0.001631008828827514,130,1230.692759,2,18.33584,21,193.020884,55804103,54341686,57118828,2026-01-05T00:25:53.000Z,1667
LIRTQDDNEV5S5XYTUBSVRG5NXTBEWSCIECHVS3ZL5CY5KEU2NF5FO27GFY,,No,true,31623.771733,0.001630690660137236,299,1578.158064,2,18.30684,28,256.94063,55787625,54123914,57123914,2026-01-05T04:26:34.000Z,1733
IW22DU7FFOJBKRH7UOIDCAPZ3UKX5IBAEFFR23LJL2VPPYX6FBL7JITQQE,,No,true,31620.1572,0.0016305042755005892,87,820.27006,1,9.16017,18,165.222623,55795103,52675011,56377868,2025-12-11T16:01:16.000Z,1925
BU7OLR7CZH6GXTU3BDAOAEJIHET2TZHOU7TWVRMAJG7DRPLKK34VXIOSQ4,,No,true,31599.403432,0.0016294341003195263,159,1321.72409,0,0,5,45.926911,55805103,46709513,56709513,2025-12-22T13:35:46.000Z,3163
MNKLRQBY5IHUBLXLEPSQPI3JVCLDH6LRPETOHC2ZYPAIDECGUP3C7ZX3XE,,No,true,31586.249631,0.0016287558200493199,229,1641.262483,1,9.14867,19,174.481065,55802536,53788297,56565439,2025-12-17T19:57:44.000Z,1667
ZTOFUTYS6BQEU2CAZYTONQFFYMG52UXDHWT4GNPJOZXLBYZU6Z5A55Z4PU,,No,true,31562.262667,0.0016275189240051004,101,961.559885,0,0,15,137.415678,55783103,53663094,56470314,2025-12-14T16:56:06.000Z,1676
TAINANSDT2UFBKLXCU5C4TEG4NU44OQNQNNX6OJRP5DIQJTKNRKVLK7VKQ,,No,true,31542.351438,0.0016264921946371968,73,683.487814,2,18.30584,13,119.383213,55766077,55124819,57901961,2026-01-30T18:06:16.000Z,1667
LUZRTDSOEIVPIRULCV3NYRRUZWTG747BWNAGTWEOJALDY4675HDMQKXAMQ,,No,true,31480.670446,0.0016233115930817713,97,915.828668,0,0,19,174.363472,55786103,55665030,58442172,2026-02-17T12:10:48.000Z,1667
IHQYB54GAKJFZ6BX6A3EGE7GL4ZFVZ2TOZZ6GV5HYOCRTSTYTRCKELDBLM,,No,true,31469.815455,0.0016227518517394348,130,1238.37738,3,27.43751,21,193.254273,55795103,53530933,64596196,2026-09-07T17:59:06.000Z,3327
IYDUGOL2FGGJHYA7HYSNVRQGNBBYVPTU4QAP7GXUMGRU4F53NPQ3ZB5CTE,,No,true,31454.079615,0.001621940427740613,122,1170.741357,3,27.519453,17,155.885363,55795103,53907248,59907248,2026-04-06T15:42:56.000Z,2450
