round,proposals,soft_votes,cert_votes,next_votes,pipelined_soft_votes,pipelined_cert_votes,late_soft_votes,late_cert_votes,late_next_votes,soft_unique_senders,cert_unique_senders,soft_total_unique_senders,cert_total_unique_senders,soft_periods,cert_periods,round_duration_ms,in_peers,out_peers,bundle_votes,soft_unique_amplification_on_time,soft_unique_amplification_total,soft_message_amplification_on_time,soft_message_amplification_total,soft_duplication_on_time,soft_duplication_total,soft_total_messages,cert_unique_amplification_on_time,cert_unique_amplification_total,cert_message_amplification_on_time,cert_message_amplification_total,cert_duplication_on_time,cert_duplication_total,cert_total_messages,next_unique_amplification_on_time,next_unique_amplification_total,next_message_amplification_on_time,next_message_amplification_total,next_duplication_on_time,next_duplication_total,next_total_messages
55874424,8,301,126,0,0,0,356,203,0,301,126,502,265,1,1,2802,0,57,106,0.10066889632107023,0.16789297658862876,0.10066889632107023,0.2197324414715719,1.0,1.3087649402390438,657.0,0.084,0.17666666666666667,0.084,0.21933333333333332,1.0,1.241509433962264,329.0,0.0,0.0,0.0,0.0,,,0.0
55874425,6,302,154,0,0,0,337,190,0,302,154,504,270,1,1,2932,0,57,154,0.10100334448160535,0.16856187290969898,0.10100334448160535,0.2137123745819398,1.0,1.2678571428571428,639.0,0.10266666666666667,0.18,0.10266666666666667,0.22933333333333333,1.0,1.2740740740740741,344.0,0.0,0.0,0.0,0.0,,,0.0
55874426,5,316,114,0,0,0,326,217,0,316,114,487,271,1,1,2554,0,57,92,0.10568561872909699,0.162876254180602,0.10568561872909699,0.21471571906354514,1.0,1.3182751540041069,642.0,0.076,0.18066666666666667,0.076,0.22066666666666668,1.0,1.2214022140221403,331.0,0.0,0.0,0.0,0.0,,,0.0
55874427,5,296,127,0,0,0,346,181,0,296,127,485,248,1,1,2920,0,57,106,0.09899665551839465,0.16220735785953178,0.09899665551839465,0.21471571906354514,1.0,1.3237113402061855,642.0,0.08466666666666667,0.16533333333333333,0.08466666666666667,0.20533333333333334,1.0,1.2419354838709677,308.0,0.0,0.0,0.0,0.0,,,0.0
55874428,6,311,129,0,0,0,323,194,0,311,129,471,250,1,1,3082,0,57,125,0.1040133779264214,0.15752508361204012,0.1040133779264214,0.2120401337792642,1.0,1.346072186836518,634.0,0.086,0.16666666666666666,0.086,0.21533333333333332,1.0,1.292,323.0,0.0,0.0,0.0,0.0,,,0.0
55874429,7,301,123,0,0,0,333,180,0,301,123,486,243,1,1,2713,0,57,123,0.10066889632107023,0.1625418060200669,0.10066889632107023,0.2120401337792642,1.0,1.3045267489711934,634.0,0.082,0.162,0.082,0.202,1.0,1.2469135802469136,303.0,0.0,0.0,0.0,0.0,,,0.0
55874430,8,310,134,0,0,0,311,185,0,310,134,468,259,1,1,2748,0,57,101,0.10367892976588629,0.1565217391304348,0.10367892976588629,0.2076923076923077,1.0,1.3269230769230769,621.0,0.08933333333333333,0.17266666666666666,0.08933333333333333,0.21266666666666667,1.0,1.2316602316602316,319.0,0.0,0.0,0.0,0.0,,,0.0
55874431,5,293,143,0,0,0,327,202,0,293,143,470,278,1,1,2542,0,57,94,0.0979933110367893,0.15719063545150502,0.0979933110367893,0.20735785953177258,1.0,1.3191489361702127,620.0,0.09533333333333334,0.18533333333333332,0.09533333333333334,0.23,1.0,1.2410071942446044,345.0,0.0,0.0,0.0,0.0,,,0.0
55874432,7,300,126,0,0,0,312,195,0,300,126,467,250,1,1,2732,0,57,95,0.10033444816053512,0.15618729096989967,0.10033444816053512,0.20468227424749164,1.0,1.310492505353319,612.0,0.084,0.16666666666666666,0.084,0.214,1.0,1.284,321.0,0.0,0.0,0.0,0.0,,,0.0
55874433,4,295,124,0,0,0,328,192,0,295,124,487,252,1,1,2744,0,57,105,0.09866220735785954,0.162876254180602,0.09866220735785954,0.20836120401337793,1.0,1.2792607802874743,623.0,0.08266666666666667,0.168,0.08266666666666667,0.21066666666666667,1.0,1.253968253968254,316.0,0.0,0.0,0.0,0.0,,,0.0
55874434,5,306,117,0,0,0,309,198,0,306,117,478,254,1,1,2804,0,57,101,0.10234113712374582,0.15986622073578596,0.10234113712374582,0.205685618729097,1.0,1.286610878661088,615.0,0.078,0.16933333333333334,0.078,0.21,1.0,1.2401574803149606,315.0,0.0,0.0,0.0,0.0,,,0.0
55874435,8,279,115,0,0,0,343,192,0,279,115,485,244,1,1,2953,0,57,85,0.09331103678929765,0.16220735785953178,0.09331103678929765,0.2080267558528428,1.0,1.2824742268041238,622.0,0.07666666666666666,0.16266666666666665,0.07666666666666666,0.20466666666666666,1.0,1.2581967213114753,307.0,0.0,0.0,0.0,0.0,,,0.0
55874436,8,307,131,0,0,0,319,184,0,307,131,485,245,1,1,2677,0,57,130,0.10267558528428093,0.16220735785953178,0.10267558528428093,0.2093645484949833,1.0,1.2907216494845362,626.0,0.08733333333333333,0.16333333333333333,0.08733333333333333,0.21,1.0,1.2857142857142858,315.0,0.0,0.0,0.0,0.0,,,0.0
55874437,11,306,140,0,0,0,332,187,0,306,140,485,257,1,1,2706,0,56,135,0.10234113712374582,0.16220735785953178,0.10234113712374582,0.21337792642140468,1.0,1.3154639175257732,638.0,0.09333333333333334,0.17133333333333334,0.09333333333333334,0.218,1.0,1.272373540856031,327.0,0.0,0.0,0.0,0.0,,,0.0
55874438,5,315,112,0,0,0,327,211,0,315,112,473,258,1,1,2831,0,56,89,0.10535117056856187,0.15819397993311038,0.10535117056856187,0.21471571906354514,1.0,1.357293868921776,642.0,0.07466666666666667,0.172,0.07466666666666667,0.21533333333333332,1.0,1.251937984496124,323.0,0.0,0.0,0.0,0.0,,,0.0
55874439,9,299,133,0,0,0,334,189,0,299,133,482,254,1,1,2871,0,56,110,0.1,0.16120401337792642,0.1,0.2117056856187291,1.0,1.3132780082987552,633.0,0.08866666666666667,0.16933333333333334,0.08866666666666667,0.21466666666666667,1.0,1.2677165354330708,322.0,0.0,0.0,0.0,0.0,,,0.0
55874440,5,317,129,0,0,0,326,192,0,317,129,485,263,1,1,2808,0,56,114,0.1060200668896321,0.16220735785953178,0.1060200668896321,0.21505016722408027,1.0,1.3257731958762886,643.0,0.086,0.17533333333333334,0.086,0.214,1.0,1.220532319391635,321.0,0.0,0.0,0.0,0.0,,,0.0
55874441,7,313,134,0,0,0,335,189,0,313,134,492,257,1,1,2759,0,56,98,0.10468227424749164,0.1645484949832776,0.10468227424749164,0.21672240802675585,1.0,1.3170731707317074,648.0,0.08933333333333333,0.17133333333333334,0.08933333333333333,0.21533333333333332,1.0,1.2568093385214008,323.0,0.0,0.0,0.0,0.0,,,0.0
55874442,7,294,138,0,0,0,331,185,0,294,138,468,255,1,1,2691,0,56,107,0.09832775919732442,0.1565217391304348,0.09832775919732442,0.20903010033444816,1.0,1.3354700854700854,625.0,0.092,0.17,0.092,0.21533333333333332,1.0,1.2666666666666666,323.0,0.0,0.0,0.0,0.0,,,0.0
55874443,4,307,130,0,0,0,320,206,0,307,130,474,263,1,1,2858,0,56,124,0.10267558528428093,0.15852842809364548,0.10267558528428093,0.2096989966555184,1.0,1.3227848101265822,627.0,0.08666666666666667,0.17533333333333334,0.08666666666666667,0.224,1.0,1.2775665399239544,336.0,0.0,0.0,0.0,0.0,,,0.0
