round,step,period,category,proposal_block_digest,proposal_encoding_digest,proposal_original_period,proposal_original_proposer,unique_senders,total_messages
55874396,2,0,late,1ba3447b89b2819d9d6060623dc03f88d55c0a2d511531e98e73a8bb5d9e4438,5065fc4af9ef7a5d4f45cd75dc46668319a703ef0a8994a00956d2499bec19d9,0,ZLXNOLW4C3ZHFURW7SEFWUVQSW4UQHW74OWV75FCT7BC5FWQZLZAEKDRAQ,178,178
55874396,1,0,late,1ba3447b89b2819d9d6060623dc03f88d55c0a2d511531e98e73a8bb5d9e4438,5065fc4af9ef7a5d4f45cd75dc46668319a703ef0a8994a00956d2499bec19d9,0,ZLXNOLW4C3ZHFURW7SEFWUVQSW4UQHW74OWV75FCT7BC5FWQZLZAEKDRAQ,335,335
55874396,1,0,on_time,152de9a8bb78153e8649cff96675f0dbb18a547b55ca920f027b92834eae72fb,925fa17eb4d96fdfcd2e71e19f9e55185c3f9cba1dd484892feb0aea9bc61d5b,0,T5NPCKOB7BJFZBXK3VYUJIJ6VWUUDKV3ZUJCJZUAOL7RB2TSNH4XVQLHHA,339,339
55874396,2,0,on_time,152de9a8bb78153e8649cff96675f0dbb18a547b55ca920f027b92834eae72fb,925fa17eb4d96fdfcd2e71e19f9e55185c3f9cba1dd484892feb0aea9bc61d5b,0,T5NPCKOB7BJFZBXK3VYUJIJ6VWUUDKV3ZUJCJZUAOL7RB2TSNH4XVQLHHA,130,130
55874397,2,0,late,152de9a8bb78153e8649cff96675f0dbb18a547b55ca920f027b92834eae72fb,925fa17eb4d96fdfcd2e71e19f9e55185c3f9cba1dd484892feb0aea9bc61d5b,0,T5NPCKOB7BJFZBXK3VYUJIJ6VWUUDKV3ZUJCJZUAOL7RB2TSNH4XVQLHHA,183,183
55874397,1,0,late,152de9a8bb78153e8649cff96675f0dbb18a547b55ca920f027b92834eae72fb,925fa17eb4d96fdfcd2e71e19f9e55185c3f9cba1dd484892feb0aea9bc61d5b,0,T5NPCKOB7BJFZBXK3VYUJIJ6VWUUDKV3ZUJCJZUAOL7RB2TSNH4XVQLHHA,366,366
55874397,1,0,on_time,f36aa28360afb8977a1102c9263c5ad25f0a150021eea8507f5f531ddbbfa061,3221b2e8c084f70592f2866e1deffb4a1c9b8950305f9cea30fdf4a506091e6e,0,XBYLS2E6YI6XXL5BWCAMOA4GTWHXWENZMX5UHXMRNWWUQ7BXCY5WC5TEPA,310,310
55874397,2,0,on_time,f36aa28360afb8977a1102c9263c5ad25f0a150021eea8507f5f531ddbbfa061,3221b2e8c084f70592f2866e1deffb4a1c9b8950305f9cea30fdf4a506091e6e,0,XBYLS2E6YI6XXL5BWCAMOA4GTWHXWENZMX5UHXMRNWWUQ7BXCY5WC5TEPA,121,121
55874398,2,0,on_time,4f5c11e2b53921f951ce55a777cb57421b47a66ceacc4b956f34fe2da6b367dd,566bde7069b8a88c5d0a49f96b1c2ca83157ed5350b1988613dec863b0db2892,0,RLQLT2SKHF24QUGUUMVZAM672FNWFNSM5I2XGZNCHJVHDVFU7GMCQAXVVE,132,132
55874398,1,0,late,f36aa28360afb8977a1102c9263c5ad25f0a150021eea8507f5f531ddbbfa061,3221b2e8c084f70592f2866e1deffb4a1c9b8950305f9cea30fdf4a506091e6e,0,XBYLS2E6YI6XXL5BWCAMOA4GTWHXWENZMX5UHXMRNWWUQ7BXCY5WC5TEPA,332,332
