round,proposals,soft_votes,cert_votes,next_votes,pipelined_soft_votes,pipelined_cert_votes,late_soft_votes,late_cert_votes,late_next_votes,soft_unique_senders,cert_unique_senders,soft_total_unique_senders,cert_total_unique_senders,soft_periods,cert_periods,round_duration_ms,in_peers,out_peers,bundle_votes
55874619,6,280,143,0,0,0,328,180,0,280,143,469,259,1,1,2676,0,57,143
55874620,6,302,135,0,0,0,304,190,0,302,135,461,257,1,1,2894,0,57,131
55874621,6,315,150,0,0,0,317,186,0,315,150,489,259,1,1,2936,0,57,150
55874622,6,317,143,0,0,0,327,191,0,317,143,486,257,1,1,2686,0,57,141
55874623,5,333,126,0,0,0,334,187,0,333,126,497,248,1,1,2811,0,57,102
55874624,5,304,153,0,0,0,348,172,0,304,153,503,257,1,1,2800,0,57,143
55874625,6,309,137,0,0,0,318,199,0,309,137,475,264,1,1,2926,0,57,86
55874626,7,313,152,0,0,0,327,175,0,313,152,469,260,1,1,2716,0,57,119
55874627,9,291,146,0,0,0,328,204,0,291,146,467,272,1,1,2686,0,57,145
55874628,3,323,154,0,0,0,305,190,0,323,154,481,274,1,1,2925,0,57,107
55874629,8,317,130,0,0,0,332,193,0,317,130,482,259,1,1,2714,0,56,112
55874630,7,316,151,0,0,0,334,181,0,316,151,486,266,1,1,2943,0,56,124
55874631,6,315,133,0,0,0,336,190,0,315,133,492,256,1,1,2664,0,56,95
55874632,6,322,129,0,0,0,334,190,0,322,129,497,254,1,1,2755,0,56,120
55874633,6,278,125,0,0,0,334,177,0,278,125,463,239,1,1,2739,0,56,123
55874634,6,317,163,0,0,0,301,196,0,317,163,476,289,1,1,2950,0,56,163
55874635,6,299,126,0,0,0,333,210,0,299,126,475,265,1,1,2821,0,56,58
55874636,6,335,142,0,0,0,305,162,0,335,142,481,239,1,1,3012,0,56,142
55874637,8,302,151,0,0,0,347,186,0,302,151,494,272,1,1,2527,0,56,122
55874638,6,314,147,0,0,0,315,199,0,314,147,490,272,1,1,2808,0,56,109
55874639,4,317,137,0,0,0,326,181,0,317,137,483,245,1,1,2811,0,56,132
55874640,5,299,130,0,0,0,325,186,0,299,130,471,243,1,1,2821,0,56,108
55874641,4,314,128,0,0,0,318,183,0,314,128,478,238,1,1,2790,0,56,114
55874642,4,303,148,0,0,0,325,187,0,303,148,464,267,1,1,2616,0,56,122
55874643,6,316,140,0,0,0,316,187,0,316,140,470,253,1,1,3028,0,56,138
55874644,5,316,139,0,0,0,330,185,0,316,139,487,255,1,1,2852,0,56,102
55874645,7,303,135,0,0,0,333,191,0,303,135,480,260,1,1,2716,0,56,130
55874646,7,283,136,0,0,0,312,187,0,283,136,451,254,1,1,2639,0,56,120
